#Ico.AwxServer.BusinessEntities.AwxSvrSource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{LocationPath},Name,DisplayName,Description,TemplateId,Input1,BaseText,DefaultDisplay,Delay,Enabled,HelpText,EnableClear,ExcludeEqualTo,DelayOnAlarmOnly,AlarmTreeWritesEnabled,AlarmTreeEnumType,DEV_Input2,DEV_AckOnRTN,DEV_Deadband,DEV_HI_Limit,DEV_HI_MsgText,DEV_HI_RequiresAck,DEV_HI_Severity,DEV_HIHI_Limit,DEV_HIHI_MsgText,DEV_HIHI_RequiresAck,DEV_HIHI_Severity,DEV_LO_Limit,DEV_LO_MsgText,DEV_LO_RequiresAck,DEV_LO_Severity,DEV_LOLO_Limit,DEV_LOLO_MsgText,DEV_LOLO_RequiresAck,DEV_LOLO_Severity,DEV_RTNText,DIG_Input2,DIG_AckOnRTN,DIG_Deadband,DIG_Limit,DIG_MsgText,DIG_RequiresAck,DIG_RTNText,DIG_Severity,LIM_Input2,LIM_AckOnRTN,LIM_Deadband,LIM_HI_Limit,LIM_HI_MsgText,LIM_HI_RequiresAck,LIM_HI_Severity,LIM_HIHI_Limit,LIM_HIHI_MsgText,LIM_HIHI_RequiresAck,LIM_HIHI_Severity,LIM_LO_Limit,LIM_LO_MsgText,LIM_LO_RequiresAck,LIM_LO_Severity,LIM_LOLO_Limit,LIM_LOLO_MsgText,LIM_LOLO_RequiresAck,LIM_LOLO_Severity,LIM_RTNText,RelatedValue1,RelatedValue10,RelatedValue11,RelatedValue12,RelatedValue13,RelatedValue14,RelatedValue15,RelatedValue16,RelatedValue17,RelatedValue18,RelatedValue19,RelatedValue2,RelatedValue20,RelatedValue3,RelatedValue4,RelatedValue5,RelatedValue6,RelatedValue7,RelatedValue8,RelatedValue9,ROC_Input2,ROC_AckOnRTN,ROC_Deadband,ROC_Limit,ROC_MsgText,ROC_RequiresAck,ROC_RTNText,ROC_Severity,RLM_Input2,RLM_AckOnRTN,RLM_Deadband,RLM_HI_Limit,RLM_HI_MsgText,RLM_HI_RequiresAck,RLM_HI_Severity,RLM_HIHI_Limit,RLM_HIHI_MsgText,RLM_HIHI_RequiresAck,RLM_HIHI_Severity,RLM_LO_Limit,RLM_LO_MsgText,RLM_LO_RequiresAck,RLM_LO_Severity,RLM_LOLO_Limit,RLM_LOLO_MsgText,RLM_LOLO_RequiresAck,RLM_LOLO_Severity,RLM_RTNText,TLA_Input2,TLA_AckOnRTN,TLA_Deadband,TLA_Limit,TLA_MsgText,TLA_RequiresAck,TLA_RTNText,TLA_Severity
,PK/BOX/AnalityX.Status,,Отсутствует связь с сервером,,@rgs64:\\Scadapr\PK.BOX.AnalityX.Alarm.Status.Value,Статус связи - ,,,1,,0,0,0,,,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,0,0,0,авария,1,возврат в норму,500,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,"@sim64:Bool.Static(""Static11111"").Value",,,,,,,,,,,,Сервер AnalitiX,PK,,,,AnalityX,,,0,0,,,1,,500,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,0,0,,,1,,500
,PK/BOX/BWX.Status,,Отсутствует связь с сервером,,@rgs64:\\Scadapr\PK.BOX.BWX.Alarm.Status.Value,Статус связи - ,,,1,,0,0,0,,,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,0,0,0,авария,1,возврат в норму,500,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,"@sim64:Bool.Static(""Static11111"").Value",,,,,,,,,,,,Сервер BWX,PK,,,,BWX,,,0,0,,,1,,500,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,0,0,,,1,,500
,PK/BOX/COL1.Status,,Отсутствует связь с сервером,,@rgs64:\\Scadapr\PK.BOX.COL1.Alarm.Status.Value,Статус связи - ,,,1,,0,0,0,,,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,0,0,0,авария,1,возврат в норму,500,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,"@sim64:Bool.Static(""Static11111"").Value",,,,,,,,,,,,Сервер СOL1,PK,,,,COL1,,,0,0,,,1,,500,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,0,0,,,1,,500
,PK/BOX/COL2.Status,,Отсутствует связь с сервером,,@rgs64:\\Scadapr\PK.BOX.COL2.Alarm.Status.Value,Статус связи - ,,,1,,0,0,0,,,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,0,0,0,авария,1,возврат в норму,500,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,"@sim64:Bool.Static(""Static11111"").Value",,,,,,,,,,,,Сервер СOL2,PK,,,,COL2,,,0,0,,,1,,500,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,0,0,,,1,,500
,PK/BOX/HH1.Status,,Отсутствует связь с сервером,,@rgs64:\\Scadapr\PK.BOX.HH1.Alarm.Status.Value,Статус связи - ,,,1,,0,0,0,,,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,0,0,0,авария,1,возврат в норму,500,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,"@sim64:Bool.Static(""Static11111"").Value",,,,,,,,,,,,Сервер HH1,PK,,,,HH1,,,0,0,,,1,,500,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,0,0,,,1,,500
,PK/BOX/HH2.Status,,Отсутствует связь с сервером,,@rgs64:\\Scadapr\PK.BOX.HH2.Alarm.Status.Value,Статус связи - ,,,1,,0,0,0,,,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,0,0,0,авария,1,возврат в норму,500,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,"@sim64:Bool.Static(""Static11111"").Value",,,,,,,,,,,,Сервер HH2,PK,,,,HH2,,,0,0,,,1,,500,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,0,0,,,1,,500
,PK/BOX/HyperV.Status,,Отсутствует связь с сервером,,@rgs64:\\Scadapr\PK.BOX.HyperV.Alarm.Status.Value,Статус связи - ,,,1,,0,0,0,,,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,0,0,0,авария,1,возврат в норму,500,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,"@sim64:Bool.Static(""Static11111"").Value",,,,,,,,,,,,Сервер HyperV,PK,,,,HyperV,,,0,0,,,1,,500,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,0,0,,,1,,500
,PK/BOX/OPC1.Status,,Отсутствует связь с сервером,,@rgs64:\\Scadapr\PK.BOX.OPC1.Alarm.Status.Value,Статус связи - ,,,1,,0,0,0,,,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,0,0,0,авария,1,возврат в норму,500,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,"@sim64:Bool.Static(""Static11111"").Value",,,,,,,,,,,,Сервер OPC1,PK,,,,OPC1,,,0,0,,,1,,500,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,0,0,,,1,,500
,PK/BOX/OPC2.Status,,Отсутствует связь с сервером,,@rgs64:\\Scadapr\PK.BOX.OPC2.Alarm.Status.Value,Статус связи - ,,,1,,0,0,0,,,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,0,0,0,авария,1,возврат в норму,500,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,"@sim64:Bool.Static(""Static11111"").Value",,,,,,,,,,,,Сервер OPC2,PK,,,,OPC2,,,0,0,,,1,,500,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,0,0,,,1,,500
,PK/BOX/OPC3.Status,,Отсутствует связь с сервером,,@rgs64:\\Scadapr\PK.BOX.OPC3.Alarm.Status.Value,Статус связи - ,,,1,,0,0,0,,,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,0,0,0,авария,1,возврат в норму,500,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,"@sim64:Bool.Static(""Static11111"").Value",,,,,,,,,,,,Сервер OPC3,PK,,,,OPC3,,,0,0,,,1,,500,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,0,0,,,1,,500
,PK/BOX/OPC4.Status,,Отсутствует связь с сервером,,@rgs64:\\Scadapr\PK.BOX.OPC4.Alarm.Status.Value,Статус связи - ,,,1,,0,0,0,,,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,0,0,0,авария,1,возврат в норму,500,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,"@sim64:Bool.Static(""Static11111"").Value",,,,,,,,,,,,Сервер OPC4,PK,,,,OPC4,,,0,0,,,1,,500,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,0,0,,,1,,500
,PK/BOX/OPC5.Status,,Отсутствует связь с сервером,,@rgs64:\\Scadapr\PK.BOX.OPC5.Alarm.Status.Value,Статус связи - ,,,1,,0,0,0,,,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,0,0,0,авария,1,возврат в норму,500,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,"@sim64:Bool.Static(""Static11111"").Value",,,,,,,,,,,,Сервер OPC5,PK,,,,OPC5,,,0,0,,,1,,500,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,0,0,,,1,,500
,PK/BOX/OPC6.Status,,Отсутствует связь с сервером,,@rgs64:\\Scadapr\PK.BOX.OPC6.Alarm.Status.Value,Статус связи - ,,,1,,0,0,0,,,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,0,0,0,авария,1,возврат в норму,500,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,"@sim64:Bool.Static(""Static11111"").Value",,,,,,,,,,,,Сервер OPC6,PK,,,,OPC6,,,0,0,,,1,,500,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,0,0,,,1,,500
,PK/BOX/SCADAPR.Status,,Отсутствует связь с сервером,,@rgs64:\\Scadapr\PK.BOX.SCADAPR.Alarm.Status.Value,Статус связи - ,,,1,,0,0,0,,,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,0,0,0,авария,1,возврат в норму,500,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,"@sim64:Bool.Static(""Static11111"").Value",,,,,,,,,,,,Сервер SCADAPR,PK,,,,SCADAPR,,,0,0,,,1,,500,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,0,0,,,1,,500
,PK/BOX/SCADASEC.Status,,Отсутствует связь с сервером,,@rgs64:\\Scadapr\PK.BOX.SCADASEC.Alarm.Status.Value,Статус связи - ,,,1,,0,0,0,,,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,0,0,0,авария,1,возврат в норму,500,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,"@sim64:Bool.Static(""Static11111"").Value",,,,,,,,,,,,Сервер SCADASEC,PK,,,,SCADASEC,,,0,0,,,1,,500,,0,0,,,1,500,,,1,500,,,1,500,,,1,500,,,0,0,,,1,,500
